"질의","응답","카테고리"
"AIX 커널/OS 버전(TL/SP) 확인 명령어는?","```
oslevel -s
```
- TL(Technology Level), SP(Service Pack)까지 정확히 확인 가능
- instfix -i 로 특정 fileset 패치레벨도 확인 가능","OS"
"AIX에서 LPAR 리소스(CPU/메모리) 할당량 확인하려면?","```
lparstat -i
```
- Entitled Capacity, 물리 CPU 수, 메모리 할당량 확인 가능
- 실시간 사용률은 lparstat 1 5 로 별도 확인","OS"
"LVM 논리볼륨 스냅샷 만드는 명령어는?","```
lvcreate -L 5G -s -n snap_lv /dev/vgname/lvname
```
- 원본 LV 변경분만큼 스냅샷 공간이 소모됨
- 백업 목적이면 원본 대비 충분히 여유있게 잡아야 함","OS"
"리눅스에서 멀티패스 상태 확인하는 명령어는?","```
multipath -ll
```
- 경로별 active/failed 상태와 priority group 확인 가능","OS"
"sar로 과거 CPU 사용률 이력 조회하는 방법은?","```
sar -u -f /var/log/sa/sa15
```
- sysstat 패키지 설치 및 서비스 활성화 필요
- 기본 10분 간격으로 수집됨","OS"
"특정 포트를 어떤 프로세스가 쓰는지 확인하려면?","```
lsof -i :8080
ss -tnlp | grep 8080
```","OS"
"리눅스 서버 타임존 변경하는 명령어는?","```
timedatectl set-timezone Asia/Seoul
```","OS"
"프로세스 우선순위(nice값) 낮춰서 실행하는 법?","```
nice -n 10 command
renice -n 5 -p <pid>   # 실행중 프로세스 조정
```
- 값이 낮을수록 우선순위 높음 (-20~19)","OS"
"ext4 파일시스템 상세 정보(inode 개수 등) 확인하려면?","```
tune2fs -l /dev/sdX1
```
- Inode count, Block size, 마운트 횟수 등 확인 가능","OS"
"xfs 파일시스템 손상 복구 명령어는?","```
xfs_repair /dev/sdX1
```
- 마운트된 상태에서는 실행 안 됨, 언마운트 먼저 필요","OS"
"파일시스템 만들 때 inode 개수 미리 늘리려면?","```
mkfs.ext4 -N 5000000 /dev/sdX1   # inode 개수 직접 지정
mkfs.ext4 -i 4096 /dev/sdX1      # bytes-per-inode 비율로 조정
```
- 나중에 inode 부족해지면 재포맷 없인 못 늘림, 소용량 파일 많은 용도면 처음부터 크게 잡아야 함","OS"
"AIX에서 다른 볼륨그룹을 시스템에 임포트하려면?","```
importvg -y datavg hdisk5
```
- 디스크 이전(SAN 마이그레이션) 작업 시 자주 사용
- 반대 작업은 exportvg","OS"
"AIX rootvg 미러링 설정 명령어는?","```
mirrorvg rootvg hdisk1
bosboot -a
bootlist -m normal hdisk0 hdisk1
```
- 미러링 후 부트리스트까지 등록해야 디스크 장애시 대체 부팅 가능","OS"
"Windows Server에서 디스크 볼륨 확장하는 명령어는?","```
diskpart
select volume 2
extend size=10240
```","OS"
"Windows에서 실행중인 프로세스 강제 종료하는 명령어는?","```
tasklist | findstr notepad
taskkill /PID 1234 /F
```","OS"
"Windows 서비스 시작 유형을 자동으로 바꾸려면?","```
sc config <서비스명> start= auto
```
- start=와 값 사이 공백 빠뜨리면 에러남","OS"
"AIX JFS2 파일시스템 마운트 옵션(로그모드 등) 확인하는 명령어는?","```
mount | grep jfs2
lsfs -q /filesystem
```
- log=INLINE 여부, 압축(COMPRESS) 옵션 등 확인 가능","OS"
"Windows 그룹정책 즉시 강제 적용하는 명령어는?","```
gpupdate /force
```","OS"
"로그파일 자동 정리(logrotate) 설정 기본 구조는?","```
/var/log/myapp/*.log {
  daily
  rotate 14
  compress
  missingok
  notifempty
}
```","OS"
"리눅스에서 huge pages 설정 확인하는 방법은?","```
cat /proc/meminfo | grep -i huge
sysctl vm.nr_hugepages
```
- Oracle 등 DB 성능 튜닝시 필수 확인 항목","OS"
"특정 사용자에게만 별도 리밋 걸려면 limits.conf 대신?","```
# /etc/security/limits.d/99-oracle.conf
oracle soft nofile 65536
oracle hard nofile 65536
```
- 파일명 숫자가 클수록 나중에 로드되어 우선 적용됨","OS"
"crontab 실행 권한을 특정 사용자만 허용하려면?","```
/etc/cron.allow
/etc/cron.deny
```
- cron.allow가 존재하면 그 안에 있는 사용자만 crontab 등록 가능","OS"
