"질의","응답","카테고리"
"도커에서 exec랑 attach 차이가 뭐야?","- exec: 실행 중인 컨테이너에 새 프로세스 실행(주로 셸 접속)
- attach: 컨테이너의 메인 프로세스(PID 1) 표준입출력에 직접 연결
- attach 중에 Ctrl+C 누르면 컨테이너 자체가 죽을 수 있어서 exec가 더 안전","DEVOPS"
"도커 컨테이너에서 파일 복사하는 명령어 뭐야?","```
docker cp <container_id>:/path/in/container ./local_path
docker cp ./local_file <container_id>:/path/in/container
```
- 컨테이너가 꺼져있어도 복사 가능","DEVOPS"
"Dockerfile에서 ENTRYPOINT랑 CMD 차이가 뭐야?","- CMD: 기본 실행 명령, docker run 인자로 덮어쓰기 가능
- ENTRYPOINT: 고정 실행 명령, docker run 인자는 뒤에 붙는 파라미터로 취급
- 둘 다 쓰면 ENTRYPOINT가 실행파일, CMD가 기본 인자 역할","DEVOPS"
"docker-compose up -d 옵션이 뭐야?","- -d: 백그라운드(detached)로 실행
- --build: 실행 전 이미지 재빌드
- 로그는 docker-compose logs -f로 따로 확인","DEVOPS"
"docker inspect는 언제 써?","- 컨테이너/이미지의 상세 메타데이터(JSON) 조회
- IP, 마운트, 환경변수, 네트워크 설정 등 한 번에 확인 가능
```
docker inspect <container_id> --format '{{.NetworkSettings.IPAddress}}'
```","DEVOPS"
"도커 이미지 태그 걸고 푸시하는 명령어?","```
docker tag myapp:latest registry.example.com/myapp:1.0
docker push registry.example.com/myapp:1.0
```
- 레지스트리 주소 안 붙이면 기본적으로 Docker Hub로 감","DEVOPS"
"kubectl apply랑 create 차이가 뭐야?","- create: 리소스 없으면 생성, 이미 있으면 에러
- apply: 없으면 생성, 있으면 declarative하게 diff 적용(패치)
- 운영 환경에서는 보통 apply로 관리","DEVOPS"
"StatefulSet이랑 Deployment 차이가 뭐야?","- Deployment: Pod가 동일하고 순서/식별자 의미 없음
- StatefulSet: Pod마다 고정된 이름/순서 부여, PVC도 개별로 유지(예: pod-0, pod-1)
- DB, 메시지 큐처럼 상태나 순서가 중요한 워크로드에 씀","DEVOPS"
"DaemonSet은 언제 써?","- 모든(또는 특정 라벨) 노드에 Pod 1개씩 배포
- 로그 수집기(fluentd), 노드 모니터링 에이전트(node-exporter) 같은 노드 상주 워크로드에 사용
- 노드가 추가되면 자동으로 Pod도 같이 생성됨","DEVOPS"
"Job이랑 CronJob 차이가 뭐야?","- Job: 1회성 배치 작업, 완료되면 끝
- CronJob: 지정한 스케줄대로 Job을 주기적으로 생성
- completions/parallelism으로 실행 개수와 동시성 조절 가능","DEVOPS"
