"질의","응답","카테고리"
"WAS 커넥션풀이 계속 고갈되는데 DB 쪽에서 뭘 먼저 확인해야 돼?","확인 순서:
1. WAS 커넥션풀 active/idle/wait 지표 확인 (풀 사이즈 대비 active 얼마나 차있는지)
2. DB에서 장시간 실행 중인 쿼리 확인
```sql
SELECT sid, serial#, username, status, last_call_et, sql_id
FROM v$session
WHERE status='ACTIVE' AND username IS NOT NULL
ORDER BY last_call_et DESC;
```
3. 락 대기 세션 있는지 확인 (v$lock, v$session_wait)
4. WAS 스레드덤프에서 커넥션 얻기 대기 중인 스레드 수 확인
- 포인트: 커넥션풀 고갈은 대부분 WAS 문제가 아니라 DB 슬로우쿼리/락이 원인. 풀 사이즈 늘리기 전에 DB부터 봐야 함.","MIDDLEWARE+DBA"
"JEUS 스레드덤프 찍었는데 대부분 BLOCKED 상태야. 뭘 의심해야 돼?","확인 순서:
1. 스레드덤프에서 BLOCKED 스레드가 잡고 있는 lock 객체 확인 (커넥션풀 내부 lock인지 애플리케이션 lock인지)
2. 커넥션풀 관련이면 DB 락 경합 확인
```sql
SELECT * FROM v$lock WHERE block > 0;
```
3. blocking session 잡아서 어떤 트랜잭션이 오래 걸고 있는지 확인
4. WAS 트랜잭션 타임아웃 설정값과 실제 대기시간 비교
- 포인트: 애플리케이션 코드 문제가 아니면 JEUS 스레드 BLOCKED는 십중팔구 DB 락 때문.","MIDDLEWARE+DBA"
"야간 배치가 돌 때마다 WAS 타임아웃 에러랑 DB 락 경고가 같이 뜨는데 원인이 뭘까?","원인 후보:
1. 배치 트랜잭션이 커밋 없이 대량 UPDATE/DELETE 돌리면서 락을 오래 잡음
2. 배치가 잡은 락 때문에 온라인 트랜잭션이 대기하다 WAS 스레드가 타임아웃
3. WAS 트랜잭션 타임아웃 값이 배치 처리시간보다 짧게 설정됨
확인 순서:
1. DB에서 배치 세션 락 보유 시간 확인
2. WAS 타임아웃 설정 확인 (JEUS: TimeoutSecond, Tomcat: transaction timeout)
3. 배치 커밋 단위(commit size) 확인, 너무 크면 커밋 간격 조정
- 포인트: 배치는 온라인 트랜잭션과 커넥션풀/락을 분리하는 게 기본. 같은 풀 쓰면 이 문제 반복됨.","MIDDLEWARE+DBA"
"Tomcat DataSource maxActive랑 Oracle PROCESSES 파라미터는 어떻게 맞춰야 돼?","- maxActive × WAS 인스턴스 개수 <= DB PROCESSES 여유치로 맞춰야 함
- PROCESSES는 리스너, 백그라운드 프로세스 몫도 있어서 전체를 커넥션풀에 다 몰아주면 안 됨
- 여러 WAS가 같은 DB 붙는 구조면 합산 기준으로 계산해야 함","MIDDLEWARE+DBA"
"커넥션풀 누수(leak) 의심되는데 WAS랑 DB 어디서 확인해?","확인 순서:
1. WAS 커넥션풀 모니터링에서 active 커넥션 수가 시간 지나도 안 줄어드는지 확인
2. removeAbandoned/logAbandoned 옵션 켜서 반환 안 된 커넥션 스택트레이스 확보
```xml
<Resource removeAbandoned="true" logAbandoned="true" removeAbandonedTimeout="60" />
```
3. DB에서 동일 세션이 오래 INACTIVE 상태로 남아있는지 확인
```sql
SELECT sid, username, status, last_call_et FROM v$session WHERE status='INACTIVE';
```
