"질의","응답","카테고리"
"Oracle에서 특정 SQL_ID 실행계획 확인하는 방법","```sql
SELECT * FROM TABLE(dbms_xplan.display_cursor('&sql_id', null, 'ALLSTATS LAST'));
```
- 캐시에 없으면 AWR에서 dbms_xplan.display_awr로 조회
- ALLSTATS LAST 붙이면 실제 실행 통계(A-Rows)까지 같이 나옴","DBA"
"ORA-00060 deadlock detected 로그 뜨는데 원인 파악 어떻게 해","확인 순서
1. alert log 밑에 생성된 deadlock trace 파일(*.trc) 찾기 - ORA-00060 발생 시 자동 생성
2. trace 파일에서 ""Deadlock graph"" 섹션 보고 어떤 세션끼리 서로 다른 순서로 락 잡았는지 확인
3. 관련 SQL문 확인해서 테이블 접근 순서 통일 필요한지 판단
4. 반복 발생하면 애플리케이션 트랜잭션 범위 줄이는 것도 검토
- 놓치기 쉬운 포인트: Oracle은 데드락 감지되면 한쪽 트랜잭션을 자동 롤백시킴, 애플리케이션에서 재시도 로직 있는지 꼭 확인","DBA"
"Oracle temp tablespace 사용량 확인하는 쿼리","```sql
SELECT tablespace_name,
       round(used_blocks*8192/1024/1024,2) used_mb
FROM v$sort_segment;
```
- 세션별로 얼마나 쓰는지는 v$tempseg_usage로 확인 가능","DBA"
"ORA-01652 unable to extend temp segment 에러 뜨는데 대응 방법","확인 순서
1. v$sort_segment로 temp tablespace 현재 사용량 확인
2. 대용량 정렬/해시조인 유발하는 쿼리 있는지 v$tempseg_usage로 세션별 확인
3. temp 파일 autoextend 여부, maxsize 확인
4. 급하면 temp 파일 추가하거나 임시로 늘리기
- 놓치기 쉬운 포인트: 인덱스 없이 order by/group by 많이 쓰는 배치 쿼리가 주범인 경우 많음, 근본 원인은 쿼리 튜닝","DBA"
"Oracle에서 log file sync 대기 이벤트가 심한데 원인이 뭐야","확인 순서
1. AWR/ASH에서 log file sync 대기 비중 확인
2. 실제 원인은 대부분 log file parallel write(디스크 I/O)가 느린 것, redo 로그 위치 디스크 성능 확인
3. commit 너무 자주 하는 애플리케이션 패턴인지 확인 (batch commit 단위 조정 가능한지)
4. redo log 그룹/멤버 수와 크기 적절한지 확인
- 놓치기 쉬운 포인트: redo 로그와 데이터파일이 같은 디스크에 있으면 I/O 경합으로 더 심해짐","DBA"
"Oracle 특정 테이블 히스토그램 강제로 다시 수집하는 방법","```sql
EXEC dbms_stats.gather_table_stats('SCHEMA','TABLE_NAME', method_opt=>'FOR ALL COLUMNS SIZE AUTO');
```
- SIZE AUTO는 오라클이 데이터 분포 보고 히스토그램 필요한 컬럼 자동 판단
- 특정 컬럼만 하려면 FOR COLUMNS 컬럼명 SIZE 254","DBA"
"Oracle flashback query로 삭제된 데이터 조회하는 법","```sql
SELECT * FROM orders AS OF TIMESTAMP TO_TIMESTAMP('2026-08-24 09:00:00','YYYY-MM-DD HH24:MI:SS');
```
- undo retention 기간 내에서만 가능, 지나면 ORA-01555
- 테이블 자체를 되돌리려면 flashback table 쓰기 전에 row movement enable 필요","DBA"
"파티션 테이블에서 exchange partition 하다가 ORA-14097 뜨는데 왜 그래","확인 순서
1. 파티션 테이블과 exchange 대상 테이블의 컬럼 정의(타입, 길이, nullable)가 완전히 일치하는지 확인
2. 인덱스 구조도 동일해야 함 (WITHOUT VALIDATION 안 쓰면 검증하며 시간 걸림)
3. 제약조건(체크 컨스트레인트) 차이 있는지 확인
4. 급하면 WITHOUT VALIDATION 옵션으로 검증 스킵 가능하지만 데이터 정합성은 직접 보장해야 함
- 놓치기 쉬운 포인트: 컬럼 순서까지 같아야 안전한 경우가 있음, DESC로 두 테이블 구조 비교부터 하는 게 빠름","DBA"
"Oracle listener 상태 확인하는 명령","```bash
lsnrctl status
```
- 서비스 등록 안 돼있으면 STATUS OF THE LISTENER에 서비스 목록 안 뜸
- 안 뜨면 alter system register 실행해서 강제 등록","DBA"
"Oracle alert log 파일 위치 어디서 확인해","```sql
SELECT value FROM v$diag_info WHERE name = 'Diag Trace';
```
- 해당 경로 밑에 alert_<SID>.log 파일 존재
- 11g 이상은 ADR 구조라 adrci 명령으로도 조회 가능","DBA"
