"질의","응답","카테고리"
"Tomcat 버전 확인하는 명령어 뭐야?","```bash
$CATALINA_HOME/bin/version.sh
```
- 또는 catalina.out 첫 줄에 버전 정보 찍힘","MIDDLEWARE"
"JEUS 8 프로세스 강제로 죽이는 방법은?","```bash
jeusadmin <노드>:<포트> server-stop -force
```
- 그래도 안 죽으면 kill -9 <pid>","MIDDLEWARE"
"nginx 버전이랑 컴파일된 모듈 확인하려면?","```bash
nginx -V
```
- -v는 버전만, -V는 컴파일 옵션까지 다 나옴","MIDDLEWARE"
"Apache 설정 파일 문법 검사 명령어는?","```bash
apachectl configtest
```
- Syntax OK 나오면 정상","MIDDLEWARE"
"WebtoB 전체 재시작 명령어 알려줘","```bash
wsdown -f
wsboot
```
- wsdown -f는 강제 종료, 그냥 wsdown은 graceful 종료","MIDDLEWARE"
"jstat으로 GC 현황 실시간으로 보는 명령어는?","```bash
jstat -gcutil <pid> 1000
```
- 1000은 1초 간격, Eden/Old 사용률(%)이랑 GC 횟수/시간 나옴","MIDDLEWARE"
"jcmd로 스레드 덤프 뜨는 방법은?","```bash
jcmd <pid> Thread.print > thread_dump.txt
```
- jstack 대신 jcmd 써도 동일한 덤프 나옴, JDK9+에서 권장","MIDDLEWARE"
"Tomcat Connector 포트 바꾸려면 어디 수정해?","- $CATALINA_HOME/conf/server.xml의 `<Connector port=""8080"" .../>`
- 바꾸고 나면 재시작 필요, 핫리로드 안 됨","MIDDLEWARE"
"nginx 로그 포맷 커스텀하려면 어떻게 해?","```
log_format custom '$remote_addr - $request_time - $status';
access_log /var/log/nginx/access.log custom;
```
- 필드 추가할 때마다 nginx -t로 검증 필수","MIDDLEWARE"
"JEUS 8에서 스레드풀 사이즈 설정 어디서 해?","- WebAdmin 콘솔 > 스레드풀 관리, 또는 JEUSMain.xml의 `<thread-pool>` 항목
```xml
<thread-pool>
    <name>pool1</name>
    <min>10</min>
    <max>200</max>
</thread-pool>
```","MIDDLEWARE"
"Apache VirtualHost가 뭐야?","- 하나의 Apache로 여러 도메인/포트 서비스 나눠서 운영하는 설정
- ServerName, DocumentRoot 별도로 지정","MIDDLEWARE"
"WebtoB에서 HTL 노드가 정확히 뭐하는거야?","- 클라이언트 요청 받아서 HTH로 부하분산 해주는 로드밸런서 노드
- HTH는 실제 WAS로 라우팅하는 역할","MIDDLEWARE"
"G1GC에서 MaxGCPauseMillis 옵션 어떻게 써?","```
-XX:MaxGCPauseMillis=200
```
- 목표치일 뿐 강제 보장 아님, 너무 낮게 잡으면 GC가 더 자주 돎","MIDDLEWARE"
"JVM 힙 사이즈 설정 옵션 알려줘","```
-Xms2048m -Xmx4096m
```
- Xms/Xmx 다르게 주면 힙 늘어날 때 지연 생기니 운영에선 보통 동일하게 맞춤","MIDDLEWARE"
"Tomcat에서 AJP 커넥터랑 HTTP 커넥터 차이가 뭐야?","- HTTP는 클라이언트가 직접 붙는 프로토콜, AJP는 Apache 등 웹서버 뒤에서 바이너리 프로토콜로 연동
- Ghostcat 취약점 이후 AJP 기본 비활성화 권장","MIDDLEWARE"
"nginx에서 gzip 압축 설정 어떻게 해?","```
gzip on;
gzip_types text/plain application/json;
gzip_min_length 1024;
```
- 이미 압축된 파일(이미지 등)엔 굳이 적용 안 하는 게 좋음","MIDDLEWARE"
"JEUS 8 웹어드민 콘솔 접속 포트 어디서 확인해?","- domain.xml의 `<web-admin-port>` 항목 확인
- 기본값은 9736","MIDDLEWARE"
"Apache mod_proxy가 하는 역할이 뭐야?","- 리버스 프록시 기능 제공하는 모듈
- ProxyPass/ProxyPassReverse로 백엔드 WAS로 요청 전달","MIDDLEWARE"
"커넥션풀 maxIdle이랑 maxActive 차이가 뭐야?","- maxActive는 동시에 사용 가능한 최대 커넥션 수
- maxIdle은 안 쓰고 대기 상태로 유지할 최대 커넥션 수, 초과하면 반납된 커넥션 바로 닫힘","MIDDLEWARE"
"WebtoB 설정 파일 관리하는 명령어는?","```bash
wscfl -i http.m
```
- 설정 컴파일 후 반영해야 wsboot 시 적용됨","MIDDLEWARE"
