"질의","응답","카테고리"
"RAC 인터커넥트 네트워크가 정확히 뭘 위해 쓰이는거야?","노드 간 cache fusion 트래픽 전용망임. GCS/GES 메시지, 블록 전송이 여기로 다님.
- private network로 분리, 이중화 스위치 구성 필수
- 여기서 지연/패킷드랍 나면 gc buffer busy, gc cr request 대기 바로 튐
- public network랑 절대 섞지 마","NETWORK+DBA"
"RAC 노드 하나 성능 갑자기 떨어졌는데 interconnect network 문제인지 어떻게 확인해?","확인 순서
1. v$cluster_interconnects 로 사용중인 인터페이스 확인
2. netstat -s / ethtool -S <interconnect_nic> 로 에러·드랍 카운트 체크
3. v$system_event 에서 gc cr request, gc buffer busy acquire 대기시간 확인
4. 스위치 포트 duplex/speed, jumbo frame(MTU 9000) 설정 일치 여부 확인
5. tcpdump -i <interconnect_nic> udp 로 패킷 손실/재전송 캡처
- 놓치기 쉬운 포인트: interconnect 스위치가 public 스위치랑 물리적으로 같은 장비면 브로드캐스트 폭주로 간헐적 지연 생김","NETWORK+DBA"
"신규 서버에서 DB로 접속이 안될 때 방화벽에서 제일 먼저 봐야 할 거?","- 정책에 src IP/port, dst IP/port(1521, 3306, 5432, 8629 등) 허용 여부부터 확인
- telnet <db_ip> <port> 나 nc -zv <db_ip> <port> 로 포트 open 여부 먼저 테스트
- 정책 있어도 안되면 NAT/라우팅 문제일 수 있음","NETWORK+DBA"
"커넥션풀에서 DB 세션이 간헐적으로 뚝뚝 끊기는데 원인 후보랑 확인 순서?","원인 후보 - 방화벽 idle session timeout, LB idle timeout, DB sqlnet expire_time 불일치, TCP keepalive 미설정
확인 순서
1. 방화벽 정책의 idle timeout 값 확인 (보통 기본 3600s 이하인 경우 많음)
2. DB listener 쪽 sqlnet.ora 의 SQLNET.EXPIRE_TIME 값과 비교
3. OS sysctl net.ipv4.tcp_keepalive_time 확인
4. 방화벽 세션 로그에서 해당 세션 삭제(session aged out) 로그 확인
- 방화벽 timeout이 DB보다 짧으면 방화벽이 먼저 세션 끊음, keepalive로 갱신 필요","NETWORK+DBA"
"replication lag 늘어났는데 이게 네트워크 대역폭 문제인지 DB 자체 문제인지 어떻게 나눠서 봐?","- PostgreSQL: pg_stat_replication 에서 write_lag, flush_lag, replay_lag 세개 다 확인
  - write_lag만 크다 → 네트워크 전송 지연
  - replay_lag만 유독 크다 → standby 자체 apply 리소스 문제
- MySQL: SHOW REPLICA STATUS 의 Seconds_Behind_Source 크면서 iperf3 테스트 정상이면 SQL thread(적용) 쪽 문제
- 확인 순서: 1) iperf3/ping 으로 RTT·대역폭 확인 2) 위 lag 항목 분리해서 비교 3) standby 서버 CPU/IO 확인","NETWORK+DBA"
"DB 접속시 SSL handshake 실패나는데 인증서 문제인지 네트워크 문제인지 어떻게 구분해?","```
openssl s_client -connect <db_host>:<port> -showcerts
```
- 여기서 TCP 연결 자체가 안 되면 방화벽/네트워크 문제
- 연결은 되는데 verify error 뜨면 인증서 체인/만료 문제
- handshake 중간에 끊기면 방화벽/IPS가 SSL 패킷 검사하다 끊는 경우도 있음, 그때는 tcpdump로 RST 확인","NETWORK+DBA"
"Oracle SCAN 이름으로 접속이 안 될 때 체크리스트 알려줘","1. nslookup <scan_name> 으로 IP 3개 다 나오는지 확인
2. srvctl status scan_listener 로 리스너 상태 확인
3. 방화벽에 SCAN VIP 3개 대역 전부 허용됐는지 확인 (하나만 열어놓는 실수 많음)
4. 클라이언트 tnsnames.ora의 SCAN 주소랑 실제 DNS 응답 일치하는지 확인","NETWORK+DBA"
"tcpdump로 DB 슬로우쿼리가 네트워크 원인인지 잡을때 기본 커맨드는?","```
tcpdump -i eth0 host <db_ip> and port 1521 -w db.pcap
```
- wireshark로 열어서 TCP Retransmission, Duplicate ACK 많으면 네트워크 구간 문제
- DB 자체 문제면 SQL 요청-응답 간격은 정상인데 애초에 쿼리 응답이 늦게 옴","NETWORK+DBA"
"L4 로드밸런서 뒤에 있는 MySQL read replica 헬스체크가 자꾸 unhealthy로 빠지는데 확인할 거?","- 헬스체크가 단순 TCP connect인지 select 1 같은 실제 쿼리인지 확인
- replica가 부하로 응답 늦으면 헬스체크 timeout 값보다 응답이 느려서 빠짐 - Seconds_Behind_Source 같이 확인
- LB 헬스체크 threshold(연속 실패 횟수)랑 interval 값 늘려서 flapping인지 테스트","NETWORK+DBA"
"VPN 연결 후 DB는 붙는데 속도가 너무 느려, 원인 후보는?","원인 후보 - VPN 터널 MTU/fragmentation, 암호화 오버헤드, DB 쿼리 자체 문제
확인 순서
1. VPN 안 타는 로컬 구간에서 같은 쿼리 재현 - 느리면 DB 문제
2. ping -s 1400 -M do <db_ip> 로 fragmentation 발생하는지 MTU 테스트
3. VPN 터널 인터페이스 MTU 값 확인 (보통 1400대로 낮춰야 함)","NETWORK+DBA"
