"질의","응답","카테고리"
"JEUS가 갑자기 죽었는데 로그에 ""Too many open files""만 찍혀있어. 뭐부터 확인해?","확인 순서:
1. `ulimit -n` (JEUS 기동 계정으로) — soft/hard limit 확인
2. `cat /proc/<pid>/limits` — 실제 적용된 limit 확인 (systemd나 su 경유 시 limits.conf 안 먹는 경우 많음)
3. `lsof -p <pid> | wc -l` — 실제 열린 FD 수
4. `netstat -anp | grep <pid> | wc -l` — 커넥션풀/소켓 누수 여부
- systemd로 기동하면 /etc/security/limits.conf는 무시되고 서비스 유닛의 LimitNOFILE 따라감. 여기 놓치는 사람 많음.
```
ulimit -n
cat /proc/<pid>/limits | grep ""open files""
lsof -p <pid> | wc -l
```","MIDDLEWARE+OS"
"nginx worker_connections를 65536으로 올렸는데 실제로는 그만큼 안 받아져. 왜?","- worker_connections는 OS의 ulimit -n(nofile) 한도를 넘을 수 없음
- nginx worker 프로세스 기동 계정의 soft limit이 낮으면 nginx가 최대값으로 clamp함
- nginx.conf에 worker_rlimit_nofile 별도 지정 안 하면 OS 기본 ulimit 따라감
```
ulimit -n
nginx -V 2>&1 | grep -i rlimit
```
- worker_rlimit_nofile을 명시하고 그 값이 OS ulimit -n 이상이어야 함","MIDDLEWARE+OS"
"AIX에서 WebtoB 부팅(HTH/CLH) 시 ""semget failed"" 뜨면서 안 올라와. 원인은?","확인 순서:
1. `ipcs -s` — 현재 세마포어 사용 현황
2. AIX 커널 파라미터 세마포어 한도 확인
3. 다른 WebtoB/JEUS 인스턴스가 세마포어 선점하고 있는지 확인
4. 좀비 세마포어 정리: `ipcrm -s <id>`
```
ipcs -s
ipcs -s | wc -l
```
- 재기동 반복하다 이전 프로세스가 안 죽고 세마포어만 남는 경우가 제일 흔함. kill -9로만 내리면 IPC 리소스 안 정리되는 경우 있음","MIDDLEWARE+OS"
"JEUS 무중단 배포(rolling restart) 할 때 새 인스턴스가 같은 포트로 바로 안 뜨고 ""Address already in use"" 뜨는 이유는?","확인 순서:
1. `netstat -an | grep <port>` — TIME_WAIT 소켓 남아있는지
2. `sysctl net.ipv4.tcp_tw_reuse` / `net.ipv4.tcp_fin_timeout` 값 확인
3. JEUS 소켓 옵션 SO_REUSEADDR 적용 여부(엔진 설정)
```
netstat -an | grep :8080 | grep TIME_WAIT | wc -l
sysctl net.ipv4.tcp_tw_reuse
```
- tcp_tw_recycle은 최신 커널에서 제거/비추천이니 tw_reuse로 대응. NAT 환경에서 tw_recycle 켜면 오히려 연결 끊기는 부작용 있었음","MIDDLEWARE+OS"
"Tomcat 스레드덤프 보면 스레드 200개가 RUNNABLE인데 CPU는 5%밖에 안 써. 뭘 봐야 돼?","확인 순서:
1. RUNNABLE이어도 실제 OS 레벨에서 D(uninterruptible sleep) 상태인지 확인
2. `iostat -x 1` — 디스크 I/O wait 확인
3. 스레드 스택이 파일 I/O나 로그 write에서 멈춰있는지 확인(jstack에서 FileOutputStream, appender 등)
```
ps -eLo pid,tid,stat,wchan,comm | grep <pid>
iostat -x 1 5
```
- JVM 관점에선 RUNNABLE이지만 OS 관점에선 I/O 대기(D) 상태인 경우가 많음. CPU 낮다고 스레드 문제 아니라고 넘기면 안 됨","MIDDLEWARE+OS"
"JEUS 커넥션풀 max 다 찼다는 로그 뜨는데 DB는 정상이야. OS 쪽에서 뭐 볼 수 있어?","확인 순서:
1. `netstat -anp | grep <db_port> | grep ESTABLISHED | wc -l` — 실제 열린 커넥션 수와 풀 설정값 비교
2. `lsof -p <jeus_pid> | grep <db_port> | wc -l` — FD 레벨에서도 누적되는지
3. CLOSE_WAIT 상태 소켓 있는지 확인 — 애플리케이션이 커넥션 반납 안 하고 소켓만 죽은 채 방치되는 패턴
```
netstat -an | grep CLOSE_WAIT | wc -l
lsof -p <pid> -a -i | wc -l
```
- CLOSE_WAIT 누적이면 WAS/애플리케이션 커넥션 close 로직 문제고, ESTABLISHED만 계속 늘면 풀 반납 로직 자체가 문제","MIDDLEWARE+OS"
"JEUS/Tomcat 힙을 8G로 올렸는데 서버 물리 메모리가 8G야. 문제 없나?","- 힙 8G + Native/Metaspace/스레드스택+ 다른 프로세스까지 고려하면 실메모리 부족 확정
- 스왑 발생 시 GC(특히 Full GC) 자체가 디스크 I/O로 밀려서 STW 시간 폭증
- 물리메모리는 힙의 1.5~2배 이상 잡는 게 안전
```
free -h
vmstat 1 5
```
- 스왑 완전히 끄는 게 답은 아님. vm.swappiness 낮추는 정도로 대응하고 근본은 메모리 증설이나 힙 축소","MIDDLEWARE+OS"
"AIX에서 JEUS paging space 부족 경고 나올 때 힙 줄여야 돼?","확인 순서:
1. `lsps -a` — paging space 사용률 확인
2. `svmon -G` — 실제 메모리 사용 패턴(computational vs file page) 확인
3. JEUS 힙 설정(-Xms/-Xmx)과 물리메모리 대비 비율 확인
4. 다른 프로세스(WebtoB, DB 등) 동시 상주 여부 확인
```
lsps -a
svmon -G -O unit=MB
```
- paging space 경고라고 무조건 힙 줄이는 게 아니라 svmon으로 실제 뭐가 메모리 잡아먹는지부터 봐야 함. JEUS 힙은 -Xmx만큼 예약(reserve)되는 경우도 있어서 실사용량과 다를 수 있음","MIDDLEWARE+OS"
"Windows Server에서 Tomcat 서비스가 OutOfMemoryError 뜨는데 태스크매니저 보면 메모리 여유 있어. 왜?","- JVM 힙(-Xmx)은 OS 전체 메모리와 별개로 JVM 프로세스 안에서 관리되는 논리적 한도
- OS 메모리 여유 있어도 -Xmx 설정값 넘으면 OOM 남
- Windows 페이지파일 부족은 별개 이슈(네이티브 메모리 할당 실패로 이어짐)
```
tasklist /fi ""imagename eq tomcat*""
wmic OS get FreePhysicalMemory
```
- 서비스로 등록된 Tomcat은 procrun 설정(JvmMx)이 catalina.sh와 별도라 거기 값이 실제 적용됨","MIDDLEWARE+OS"
"RHEL에서 유저 프로세스가 많아지면 JEUS가 ""Cannot create native thread"" 에러를 낸다는데 왜 그래?","- 스레드도 OS 입장에서는 LWP(프로세스)로 카운트되어 ulimit -u(max user processes) 한도에 포함됨
- 시스템 전체 한도는 /proc/sys/kernel/threads-max
- JEUS 스레드풀 max값을 늘리기 전에 이 두 값이 충분한지 먼저 확인해야 함
```
ulimit -u
cat /proc/sys/kernel/threads-max
```","MIDDLEWARE+OS"
