"질의","응답","카테고리"
"컨테이너에서 Tomcat 힙 설정(-Xmx)이랑 K8s memory limit 관계 어떻게 잡아야 돼?","- Xmx는 컨테이너 memory limit의 70~75% 이하로 잡아
- 나머지는 metaspace, thread stack, native memory, GC 오버헤드용
- JDK 10+는 -XX:+UseContainerSupport 기본 켜져 있어서 limit 인식하지만 명시적으로 Xmx 박는 게 안전
- limit=2Gi면 Xmx 1400m 정도로 시작
- 놓치기 쉬운 포인트: request랑 limit 다르게 잡으면 JVM은 limit 기준으로 계산하니까 request만 보고 튜닝하면 안 됨","MIDDLEWARE+DEVOPS"
"readiness probe로 WAS 헬스체크 URL 잡을 때 뭘 봐야 돼?","- Tomcat은 /manager/status나 별도 health 엔드포인트, JEUS는 자체 상태체크 서블릿 만들어서 씀
- probe는 단순 TCP 포트 체크 말고 실제 요청 처리 가능 여부 확인하는 HTTP 체크로 잡아야 함
- initialDelaySeconds는 WAS 기동 시간(클래스로딩, DB풀 초기화) 감안해서 여유있게
```yaml
readinessProbe:
  httpGet:
    path: /health
    port: 8080
  initialDelaySeconds: 30
  periodSeconds: 10
```
- 놓치기 쉬운 포인트: DB 커넥션풀 초기화 전에 200 주는 헬스체크면 트래픽 받고 바로 에러남","MIDDLEWARE+DEVOPS"
"Prometheus로 Tomcat 커넥션풀/스레드풀 메트릭 어떻게 뽑아?","- JMX Exporter를 사이드카나 java agent로 붙여서 JMX MBean(Catalina:type=ThreadPool, DataSource pool) 노출
- JEUS는 JEUS Manager JMX 통해서 같은 방식
- 노출된 /metrics를 Prometheus가 scrape
```yaml
- job_name: 'tomcat'
  static_configs:
    - targets: ['was-pod:9404']
```
- 놓치기 쉬운 포인트: JMX exporter yaml에 MBean 패턴 안 맞으면 메트릭 자체가 안 나옴, curl로 /metrics 먼저 찍어서 확인","MIDDLEWARE+DEVOPS"
"Helm values.yaml로 JEUS/Tomcat JVM 옵션 넘기는 법?","- deployment.yaml의 env에 JAVA_OPTS 주입, values.yaml에서 오버라이드
```yaml
env:
  - name: JAVA_OPTS
    value: ""{{ .Values.jvm.opts }}""
```
values.yaml:
```yaml
jvm:
  opts: ""-Xms1g -Xmx1g -XX:+UseG1GC""
```
- 놓치기 쉬운 포인트: 엔트리포인트 스크립트가 JAVA_OPTS를 실제 기동커맨드에 넣는지 Dockerfile CMD/ENTRYPOINT 확인해야 함, 안 그러면 값 무시됨","MIDDLEWARE+DEVOPS"
"PreStop hook으로 WAS 정상 종료(graceful shutdown) 어떻게 구현해?","- SIGTERM 받고 grace period 지나면 SIGKILL 날아가니까 그 안에 처리중 요청 끝내야 함
- preStop에서 WAS 자체 graceful shutdown 명령(JEUS 서비스 중지, Tomcat catalina.sh stop) 호출
```yaml
lifecycle:
  preStop:
    exec:
      command: [""/bin/sh"", ""-c"", ""/app/bin/shutdown.sh && sleep 10""]
terminationGracePeriodSeconds: 60
```
- 놓치기 쉬운 포인트: Ingress/LB가 endpoint 제거하는 데 걸리는 시간보다 preStop sleep이 짧으면 종료중 서버로 트래픽 계속 들어옴","MIDDLEWARE+DEVOPS"
"컨테이너 CPU limit 낮게 잡으면 JVM GC한테 왜 안 좋아?","- JVM은 UseContainerSupport로 cgroup CPU limit 보고 GC 스레드 수(ParallelGCThreads 등) 결정
- CPU limit 1인데 노드 코어 8개면 GC 스레드 과다 생성돼서 throttling(cfs_quota) 걸림
- throttling 걸리면 GC pause 늘어나고 응답 지연으로 이어짐
- 확인: kubectl top pod로 사용량, /sys/fs/cgroup/cpu/cpu.stat의 nr_throttled
- 놓치기 쉬운 포인트: request=limit로 안 맞추면 버스트 상황에서 throttle 걸려서 GC가 CPU 못 받아 늦어짐","MIDDLEWARE+DEVOPS"
"ConfigMap으로 JEUS/Tomcat 설정파일(server.xml, jeus.xml) 관리하면 뭐 주의해야 돼?","- ConfigMap volume mount는 kubelet sync 주기(약 1분) 지나야 반영, 즉시 반영 안 됨
- WAS는 대부분 설정 재로딩 안 하고 프로세스 재시작해야 적용되니까 변경 후 rolling restart 필요
- Helm이면 configmap checksum을 annotation에 넣어서 변경시 자동 롤링 트리거
```yaml
annotations:
  checksum/config: {{ include (print $.Template.BasePath ""/configmap.yaml"") . | sha256sum }}
```
- 놓치기 쉬운 포인트: subPath로 마운트하면 ConfigMap 업데이트가 파일에 반영 자체가 안 됨(symlink 갱신 안 됨)","MIDDLEWARE+DEVOPS"
"Ingress에서 WAS 세션 어피니티(sticky session) 어떻게 걸어?","- nginx ingress는 annotation으로 쿠키 기반 어피니티 설정
```yaml
nginx.ingress.kubernetes.io/affinity: ""cookie""
nginx.ingress.kubernetes.io/session-cookie-name: ""JSESSIONID""
```
- JEUS/Tomcat이 세션 클러스터링(replication) 지원하면 어피니티 없어도 되지만, 안 쓰면 Pod 재시작/스케일다운 시 세션 끊김
- 놓치기 쉬운 포인트: HPA로 Pod 수 계속 바뀌는 환경에서 어피니티만 걸고 클러스터링 안 하면 스케일다운 때 세션 다 날아감","MIDDLEWARE+DEVOPS"
"WAS 로그 ELK로 보내는 사이드카 패턴 어떻게 구성해?","- Pod 안에 Filebeat/Fluentd 사이드카 추가, emptyDir 볼륨으로 WAS 로그 디렉토리 공유
```yaml
volumes:
  - name: log-vol
    emptyDir: {}
containers:
  - name: was
    volumeMounts:
      - {name: log-vol, mountPath: /jeus/logs}
  - name: filebeat
    volumeMounts:
      - {name: log-vol, mountPath: /jeus/logs}
```
- 놓치기 쉬운 포인트: WAS 로그가 멀티라인 스택트레이스면 Filebeat multiline 설정 안 하면 한 줄씩 쪼개져서 Kibana에서 못 봄","MIDDLEWARE+DEVOPS"
"Jenkins에서 WAR 배포 후 헬스체크 확인하고 다음 스텝 넘어가게 하려면?","- 배포 스크립트에서 curl로 상태체크 URL 폴링, 실패시 파이프라인 fail 처리
```groovy
sh '''
for i in $(seq 1 30); do
  curl -sf http://was:8080/health && exit 0
  sleep 5
done
exit 1
'''
```
- K8s면 kubectl rollout status로 대체 가능
```
kubectl rollout status deployment/was-app --timeout=180s
```
- 놓치기 쉬운 포인트: WAR만 던지고 끝나는 스텝이면 배포는 성공인데 실제 앱 기동 실패를 못 잡음, 헬스체크 스텝 반드시 필요","MIDDLEWARE+DEVOPS"
