"질의","응답","카테고리"
"K8s NetworkPolicy랑 방화벽 정책이랑 뭐가 다른데?","- NetworkPolicy는 클러스터 내부 Pod 간 통신을 CNI 레벨에서 제어 (L3/L4)
- 방화벽은 클러스터 경계(노드, 외부 트래픽)를 담당
- NetworkPolicy 있어도 CNI가 미지원하면 무시됨 (Flannel 기본 미지원, Calico/Cilium 지원)
- 확인: `kubectl get networkpolicy -A`, CNI 종류 먼저 체크","NETWORK+DEVOPS"
"Ingress에서 SSL termination이랑 passthrough 차이가 뭐야?","- termination: Ingress controller가 TLS 종료, 백엔드는 평문(HTTP)로 통신
- passthrough: TLS 그대로 Pod까지 전달, Ingress는 SNI만 보고 라우팅
- termination 쓰면 인증서는 Ingress controller(Secret)에 등록, passthrough는 Pod 안에서 직접 관리
- OpenShift Route는 edge/passthrough/reencrypt 세 가지 지원","NETWORK+DEVOPS"
"OpenShift Route TLS 종료 옵션 뭐 있어?","- edge: Router에서 TLS 종료, 백엔드는 평문
- passthrough: 암호화 그대로 Pod까지 전달
- reencrypt: Router에서 종료 후 백엔드까지 다시 암호화
- 생성 예시
```
oc create route edge --service=my-svc
oc create route passthrough --service=my-svc
oc create route reencrypt --service=my-svc --dest-ca-cert=ca.crt
```","NETWORK+DEVOPS"
"CNI 플러그인이 방화벽 정책이랑 무슨 관계 있어?","- CNI가 Pod 네트워크의 실제 패킷 경로/캡슐화 담당 (overlay vs underlay)
- overlay(VXLAN 등) 쓰면 방화벽에서 패킷 내부 IP 못 보고 캡슐화된 IP만 보임 → 정책 오탐 원인
- Calico는 BGP/IPIP 모드 있어서 방화벽 라우팅 테이블에 노출 여부 다름
- 방화벽 정책 짤 때 CNI 모드(overlay/native) 먼저 확인해야 함","NETWORK+DEVOPS"
"Service mesh mTLS 켜면 방화벽엔 뭐가 달라져?","- mTLS는 Pod 간 트래픽을 사이드카(envoy)에서 암호화 → 방화벽/IDS가 페이로드 못 봄
- L4 방화벽 정책은 그대로 포트/IP 기준 적용 가능, L7 검사는 무력화
- sidecar끼리는 15001/15006 같은 envoy 포트로 리다이렉트되니 NetworkPolicy 짤 때 실제 포트 확인 필요","NETWORK+DEVOPS"
"cert-manager 인증서 자동 갱신 원리 간단히?","- Issuer/ClusterIssuer에 CA 또는 ACME(Let's Encrypt) 설정
- Certificate 리소스가 만료 임박(기본 만료 2/3 지점)하면 자동 재발급 후 Secret 갱신
- Ingress가 해당 Secret 참조 중이면 컨트롤러가 재로드 (nginx는 reload, 일부는 무중단 아님)
- 사설 CA 쓸 땐 갱신돼도 클라이언트 트러스트 스토어 업데이트는 별도 필요","NETWORK+DEVOPS"
"kubectl port-forward 오래 열어두면 자꾸 끊기는데 왜 그래?","- port-forward 자체엔 idle timeout 없지만 중간 방화벽/LB의 커넥션 타임아웃에 걸림
- 방화벽 세션 테이블 타임아웃(보통 수십분~1시간) 지나면 강제 종료
- API 서버 앞에 LB 있으면 LB idle timeout도 확인
- 확인 순서
  1. 끊기는 시간 패턴 체크
  2. 방화벽 세션 타임아웃 값
  3. LB idle timeout 값
  4. keepalive 옵션 조정","NETWORK+DEVOPS"
"Pod랑 Node 사이 통신에 필요한 포트 뭐뭐 열어야 돼?","- kubelet: 10250(API), 10255(읽기전용, 구버전)
- etcd: 2379-2380 (마스터간)
- API 서버: 6443
- CNI 오버레이(VXLAN): 4789/udp, Calico BGP: 179/tcp
- 방화벽 정책 짤 때 이 포트들 노드 간 허용 필요 (일부는 마스터-워커만)","NETWORK+DEVOPS"
"CoreDNS가 외부 도메인 못 찾을 때 forward 설정 어떻게 봐?","```
kubectl -n kube-system get configmap coredns -o yaml
```
- Corefile의 forward . <upstream-dns> 부분 확인
- 사내 DNS 서버 IP 잘못돼있거나 방화벽에서 53/udp 막혀있으면 실패
- 확인 순서
  1. CoreDNS 로그
  2. Corefile forward 대상
  3. 노드에서 해당 DNS로 직접 dig
  4. 방화벽 53포트 정책","NETWORK+DEVOPS"
"VPN 너머 사설 이미지 레지스트리 쓸 때 뭐 신경 써야 돼?","- 클러스터 노드가 VPN 게이트웨이 통해 레지스트리 대역으로 라우팅 되는지 확인
- 방화벽에서 레지스트리 포트(443 또는 5000) 아웃바운드 허용
- registry가 사설 CA 쓰면 노드/containerd에 CA 인증서 등록 필요 (/etc/docker/certs.d 또는 containerd config)
- VPN 대역 DNS도 별도 forward 설정 필요할 수 있음","NETWORK+DEVOPS"
"LB 헬스체크랑 K8s readiness probe 관계가 뭐야?","- NodePort/LoadBalancer 서비스 쓰면 외부 LB가 노드에 직접 헬스체크
- LB 헬스체크 경로/포트가 readiness probe와 다르면 LB는 정상인데 실제 Pod는 NotReady인 상황 발생 가능
- LB 헬스체크는 Service 레벨(포트 열림 여부)만 보는 경우 많아서 readiness probe만큼 정교하지 않음
- 정합성 맞추려면 헬스체크 경로를 readiness probe와 동일하게 설정 권장","NETWORK+DEVOPS"
