"질의","응답","카테고리"
"nginx 502 뜨는데 백엔드 WAS는 떠있어. LB 헬스체크랑 방화벽 세션타임아웃 어떤 순서로 확인해?","확인 순서:
1. nginx error.log에서 upstream 에러 원인 확인 (connection refused/timeout/reset)
2. WAS 프로세스/포트 리스닝 확인
```
netstat -antp | grep <port>
```
3. LB 헬스체크 URL 응답 상태/주기 확인 - 헬스체크 실패로 풀에서 빠졌는지
4. 방화벽 세션 타임아웃 값 확인, WAS keepalive/idle timeout보다 짧으면 세션 끊김
5. 패킷 레벨로 RST/FIN 누가 보내는지 확인
```
tcpdump -i any host <was_ip> and port <port>
```
- 놓치기 쉬운 점: 방화벽 세션 타임아웃이 nginx keepalive_timeout보다 짧으면 idle 커넥션이 중간에 끊겨 502 발생","MIDDLEWARE+NETWORK"
"WebtoB에서 504 타임아웃 나는데 L4 LB에서도 타임아웃 설정 있어. 어느 값을 맞춰야 해?","- WebtoB 응답 타임아웃 < LB 타임아웃으로 맞춰야 함 (LB가 먼저 끊으면 커넥션 리셋으로 오히려 이상 로그 남음)
- 순서: WebtoB timeout → WAS 처리시간 → LB timeout 순으로 값이 커지게 설정
- 확인 대상: WebtoB 응답 타임아웃 설정값, LB의 backend/서버 timeout 값
- 놓치기 쉬운 점: LB timeout이 WebtoB보다 짧으면 WebtoB가 정상 응답해도 LB가 먼저 502/504 반환함","MIDDLEWARE+NETWORK"
"SSL termination을 LB에서 할지 WAS에서 할지 정할 때 뭘 봐야 해?","- LB termination: 인증서 관리 단일화, WAS 부하 감소, 대신 LB-WAS 구간은 평문(내부망이면 보통 허용)
- WAS termination(SSL passthrough): end-to-end 암호화 필요할 때, 대신 인증서를 WAS마다 배포/갱신해야 함
- 실무에선 LB termination + 내부망 재암호화(TLS re-encryption) 혼합 구성도 많이 씀
- 체크포인트: 내부망도 암호화 필수인 업종(금융 등)이면 WAS까지 SSL 유지해야 함","MIDDLEWARE+NETWORK"
"클라이언트가 SSL handshake 실패한다고 함. 인증서 체인 문제인지 어떻게 확인해?","```
openssl s_client -connect <vip>:443 -servername <domain>
```
- 출력의 Certificate chain 항목에 중간 인증서(intermediate CA)가 빠졌는지 확인
- LB에 인증서 업로드할 때 full chain(서버 cert + intermediate)을 안 넣은 경우가 흔함
- WAS(JEUS/Tomcat) keystore에도 체인 전체가 들어있는지 확인
```
keytool -list -v -keystore <keystore파일>
```
- 브라우저는 체인을 캐싱해서 문제를 못 느끼는 경우가 있어서 curl/openssl로 재현해야 함","MIDDLEWARE+NETWORK"
"무중단 배포 중에 sticky session 걸어놨는데 일부 사용자가 로그아웃돼. 원인 뭘까?","확인 순서:
1. LB sticky session 방식 확인 (cookie insert vs JSESSIONID 기반) - WAS가 내려가면 해당 세션 매핑 끊김
2. WAS 세션 클러스터링(JEUS session replication / Tomcat session clustering) 켜져있는지 확인
3. 배포 시 drain 없이 바로 내렸는지, graceful shutdown 설정 확인
4. LB에서 배포 대상 서버를 pool에서 뺄 때 connection draining 옵션 켜져있는지 확인
- 놓치기 쉬운 점: sticky session만 걸고 세션 클러스터링 안 해놓으면 배포 시 무조건 세션 끊김","MIDDLEWARE+NETWORK"
"L4 LB VIP failover 나면 WAS 쪽 커넥션 풀이 다 끊기는데 정상이야?","- VIP failover(active/standby 전환) 시 기존 TCP 세션은 유지 안 되는 경우가 많음 (ARP 갱신, 세션 테이블 미동기화)
- WAS 커넥션 풀은 재연결 필요, testOnBorrow류 설정 있으면 자동 복구, 없으면 stale connection 에러 발생
- 확인: LB가 세션 동기화(고가용성 세션 동기화)를 지원하는 모델인지 확인
- 커넥션 풀에 유효성 검사(testOnBorrow=true 등) 걸어두는 게 안전","MIDDLEWARE+NETWORK"
"LB 헬스체크가 계속 실패해서 WAS가 풀에서 빠지는데 WAS는 정상 기동중이야. 뭘 봐야 해?","확인 순서:
1. 헬스체크 URL을 WAS 서버에서 직접 호출해서 응답 확인
2. LB에서 오는 SYN이 도달하는지 패킷 확인
```
tcpdump -i eth0 port <healthcheck_port>
```
3. 방화벽/보안그룹에서 LB 소스 IP가 허용되어 있는지 확인
4. WAS 스레드풀이 헬스체크 요청보다 우선순위 낮게 밀려 응답 지연되는 건 아닌지 스레드덤프 확인
- 놓치기 쉬운 점: 방화벽 정책에 LB 헬스체크 소스 IP 대역이 빠져있는 경우가 흔함","MIDDLEWARE+NETWORK"
"방화벽 세션 타임아웃이랑 Tomcat connectionTimeout 값 다르면 뭐가 문제야?","- 방화벽 세션 타임아웃이 Tomcat의 connectionTimeout(또는 keepAliveTimeout)보다 짧으면 방화벽이 먼저 세션 테이블에서 끊어버림
- 이후 Tomcat이 응답 보내려 하면 RST 받고 커넥션 리셋 에러 발생
- 원칙: 방화벽 idle timeout > WAS keepAlive timeout으로 맞춰야 함
- 확인 대상: 방화벽 세션 타임아웃 설정, server.xml의 connectionTimeout/keepAliveTimeout","MIDDLEWARE+NETWORK"
"nginx upstream keepalive 설정했는데 WAS 스레드가 계속 쌓여. 왜 그래?","확인 순서:
1. nginx keepalive 커넥션 수가 WAS(Tomcat) maxThreads보다 많이 설정된 경우 - 스레드 고갈
2. LB(앞단에 있다면)의 커넥션 재사용 정책과 충돌해서 커넥션이 정리 안 되고 누적되는 경우
3. WAS 스레드덤프로 BLOCKED/WAITING 상태, 커넥션풀 대기 큐 확인
4. keepalive_requests, keepalive_timeout 값과 WAS 쪽 acceptCount 비교
- 놓치기 쉬운 점: nginx keepalive는 커넥션을 유지만 하고, 실제 처리 스레드 반환이 느리면 그대로 계속 쌓임","MIDDLEWARE+NETWORK"
"L7 LB 뒤에서 WAS 접속 로그에 클라이언트 IP가 다 LB IP로 찍혀. 왜 그런거고 어떻게 고쳐?","- LB가 SSL termination/NAT 하면서 원본 클라이언트 IP가 LB IP로 대체됨
- LB에서 X-Forwarded-For 헤더 추가 설정 필요
- WAS(nginx/Apache/Tomcat)에서 해당 헤더를 신뢰하도록 설정 (nginx real_ip_header, Tomcat RemoteIpValve)
```
RemoteIpHeader=""X-Forwarded-For""
```
- 놓치기 쉬운 점: X-Forwarded-For는 스푸핑 가능하니 신뢰할 LB IP 대역만 허용해야 함 (방화벽 또는 nginx set_real_ip_from)","MIDDLEWARE+NETWORK"
