"질의","응답","카테고리"
"스위치에 새 VLAN 만들 때 최소한 뭘 설정해야 해?","```
vlan 100
name SERVER_VLAN
```
- 인터페이스에 물릴 때는 switchport access vlan 100으로 지정
- 트렁크 포트면 allowed vlan 목록에도 추가해야 실제 통신됨","NETWORK"
"인터페이스에서 duplex mismatch 났는지 어떻게 확인해?","```
show interfaces gi1/0/1 | include duplex
```
- 한쪽 full, 한쪽 half면 late collision/CRC 에러 급증
- 자동협상 안 되면 양쪽 수동으로 값 맞춰야 함","NETWORK"
"특정 MAC 주소가 어느 포트에 붙어있는지 찾으려면?","```
show mac address-table address 0011.2233.4455
```
- VLAN별로 따로 학습되니 VLAN도 같이 지정해서 확인
- 여러 포트에 동시에 보이면 루프나 스푸핑 의심","NETWORK"
"HSRP 그룹에서 지금 Active가 어느 장비인지 확인하려면?","```
show standby brief
```
- State 컬럼에서 Active/Standby 확인
- Active가 두 대로 보이면(split brain) 중간 링크 단절 의심하고 바로 확인","NETWORK"
"인터페이스 CRC 에러 카운터가 계속 올라가는데 원인이 뭘까?","확인 순서:
1. show interfaces에서 input errors, CRC 수치 추이 확인
2. 케이블/커넥터 물리적 손상 여부 (제일 흔한 원인)
3. duplex mismatch 여부 재확인
4. 광인터페이스면 광파워 레벨(dBm) 확인
- 케이블 교체로 절반 이상 해결되니 우선 교체 후 재확인 추천","NETWORK"
"라우팅 테이블에 특정 목적지 라우트가 안 보이는데 뭐부터 봐야해?","확인 순서:
1. show ip route로 해당 대역 자체가 없는지 확인
2. 라우팅 프로토콜에서 해당 네트워크를 advertise 하고 있는지 확인
3. 상위 요약(summary) 라우트에 묻혀서 안 보이는 건지 확인
4. AD(관리 거리) 더 낮은 다른 프로토콜 라우트가 우선 선택됐는지 확인
- 정적 라우트 넣었는데도 안 뜨면 next-hop 자체가 unreachable한 경우가 많음","NETWORK"
"정적 라우트랑 동적 라우팅 프로토콜 라우트가 같이 있으면 뭐가 우선이야?","- administrative distance 낮은 쪽이 우선 (정적 라우트가 보통 더 낮음)
- 정적 라우트 AD를 일부러 높여서 백업용(floating static route)으로 쓰기도 함
- 같은 목적지라도 더 구체적인(longer prefix) 라우트가 있으면 그게 우선","NETWORK"
"같은 스위치인데 VLAN 간 통신이 안 되는데 뭘 확인해야해?","확인 순서:
1. 각 VLAN의 SVI(interface vlan) 상태가 up인지 확인
```
show ip interface brief | include Vlan
```
2. 인터-VLAN 라우팅 담당 장비에 해당 VLAN 게이트웨이가 설정됐는지 확인
3. 방화벽/ACL이 VLAN 간 트래픽을 막고 있는지 확인
4. 클라이언트 게이트웨이 설정이 실제 SVI IP와 일치하는지 확인
- 라우팅 기능 없는 순수 L2 스위치면 애초에 인터-VLAN 라우팅 자체가 불가능함","NETWORK"
"스위치 CPU 사용률이 갑자기 튀는데 원인 후보가 뭐가 있을까?","확인 순서:
1. show processes cpu sorted로 상위 프로세스 확인
2. 브로드캐스트 스톰 여부 (루프 발생 의심)
3. 라우팅 토폴로지 변경으로 재계산 중인지 확인
4. SNMP 폴링 주기가 너무 짧게 잡혀있는지 확인
- 루프 의심되면 STP 상태와 포트별 트래픽 카운터부터 봐야 함","NETWORK"
"포트 시큐리티 위반 로그는 어떻게 확인해?","```
show port-security interface gi1/0/3
```
- Violation Count가 늘어나면 등록 안 된 MAC이 접속 시도한 것
- 모드가 shutdown이면 위반 시 포트가 바로 err-disabled로 내려감","NETWORK"
